symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-06-23 00:00:00+00:00,366.53,372.38,362.27,364,53038869,89.97220851,91.40820944,88.92650527,89.3511688,212155476,0,1
AAPL,2020-06-24 00:00:00+00:00,360.06,368.79,358.52,365,48155849,88.38401603,90.52697126,88.00599186,89.59663904,192623396,0,1
AAPL,2020-06-25 00:00:00+00:00,364.84,365,357.57,360.7,34380628,89.5573638,89.59663904,87.77279513,88.54111699,137522512,0,1
AAPL,2020-06-26 00:00:00+00:00,353.63,365.32,353.02,364.41,51314211,86.80564237,89.67518952,86.65590552,89.4518116,205256844,0,1
AAPL,2020-06-29 00:00:00+00:00,361.78,362.1736,351.28,353.25,32661519,88.80622485,88.90284194,86.22878729,86.71236367,130646076,0,1
AAPL,2020-06-30 00:00:00+00:00,364.8,365.98,360,360.08,35055821,89.54754499,89.83719988,88.36928782,88.38892544,140223284,0,1
AAPL,2020-07-01 00:00:00+00:00,364.11,367.36,363.91,365.12,27690454,89.37817052,90.17594882,89.32907647,89.62609547,110761816,0,1
AAPL,2020-07-02 00:00:00+00:00,364.11,370.47,363.64,367.85,28814516,89.37817052,90.93936127,89.26279951,90.29622923,115258064,0,1
AAPL,2020-07-06 00:00:00+00:00,373.85,375.78,369.87,370,29745936,91.7690507,92.24280827,90.79207913,90.82399026,118983744,0,1
AAPL,2020-07-07 00:00:00+00:00,372.69,378.62,372.23,375.41,28206999,91.48430522,92.93994376,91.3713889,92.15198428,112827996,0,1
AAPL,2020-07-08 00:00:00+00:00,381.37,381.5,376.36,376.72,29274479,93.61498693,93.64689806,92.38518101,92.4735503,117097916,0,1
AAPL,2020-07-09 00:00:00+00:00,383.01,385.27,378.69,385.05,31420357,94.01755813,94.57232088,92.95712668,94.51831743,125681428,0,1
AAPL,2020-07-10 00:00:00+00:00,383.68,383.92,378.82,381.34,22564330,94.1820232,94.24093605,92.98903781,93.60762283,90257320,0,1
AAPL,2020-07-13 00:00:00+00:00,381.91,399.82,381.03,389.06,47913079,93.74754086,98.14391293,93.53152705,95.50265311,191652316,0,1
AAPL,2020-07-14 00:00:00+00:00,388.23,389.02,375.51,379.36,42748119,95.29891281,95.4928343,92.1765313,93.12159174,170992476,0,1
AAPL,2020-07-15 00:00:00+00:00,390.9,396.99,385.96,395.96,38306874,95.95431836,97.44923214,94.74169535,97.19639779,153227496,0,1
AAPL,2020-07-16 00:00:00+00:00,386.09,389.62,383.62,386.25,27645927,94.77360648,95.64011645,94.16729498,94.81288172,110583708,0,1
AAPL,2020-07-17 00:00:00+00:00,385.31,388.59,383.36,387.95,23046755,94.58213969,95.38728209,94.10347272,95.23018114,92187020,0,1
AAPL,2020-07-20 00:00:00+00:00,393.43,394,384.25,385.67,22397208,96.57535807,96.71527611,94.32194124,94.67050898,89588832,0,1
